number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
43,36.059531629354055,2026-04-29 12:29:06.704070,2026-04-29 12:29:11.477241,0 days 00:00:04.773171,0.729572437483301,0.008624404888594523,8,19,800,COMPLETE
44,36.81499981593208,2026-04-29 12:29:11.477241,2026-04-29 12:29:14.057867,0 days 00:00:02.580626,0.6766068230236209,0.025680382641164727,7,25,700,COMPLETE
45,35.846883232421774,2026-04-29 12:29:14.057867,2026-04-29 12:29:19.263663,0 days 00:00:05.205796,0.6313491159183849,0.006285718521879775,9,41,800,COMPLETE
46,36.287022635602284,2026-04-29 12:29:19.263663,2026-04-29 12:29:24.770874,0 days 00:00:05.507211,0.5527261797922596,0.004702471095670258,9,42,800,COMPLETE
47,35.860085059684465,2026-04-29 12:29:24.771377,2026-04-29 12:29:31.570279,0 days 00:00:06.798902,0.9005504333022882,0.0064938108108792796,10,48,900,COMPLETE
48,35.97542836899267,2026-04-29 12:29:31.570279,2026-04-29 12:29:38.623477,0 days 00:00:07.053198,0.8706837311984118,0.006650125064085771,10,49,1000,COMPLETE
49,37.50231824452466,2026-04-29 12:29:38.623477,2026-04-29 12:29:40.695206,0 days 00:00:02.071729,0.8893052611911862,0.0032084147068259495,4,56,900,COMPLETE
50,37.78812846757374,2026-04-29 12:29:40.695206,2026-04-29 12:29:51.841784,0 days 00:00:11.146578,0.9525470604511748,0.0018735481173104925,10,49,1000,COMPLETE
51,35.743682353420255,2026-04-29 12:29:51.841784,2026-04-29 12:29:57.956238,0 days 00:00:06.114454,0.8083128135660399,0.007621981472460231,10,41,800,COMPLETE
52,35.825225137763,2026-04-29 12:29:57.956238,2026-04-29 12:30:04.901747,0 days 00:00:06.945509,0.9143544298930751,0.0064897162344270416,10,37,800,COMPLETE
53,35.99399799817915,2026-04-29 12:30:04.901747,2026-04-29 12:30:13.042309,0 days 00:00:08.140562,0.9104487314873978,0.0041969215669218005,10,40,800,COMPLETE
54,35.81262283244526,2026-04-29 12:30:13.042309,2026-04-29 12:30:20.380920,0 days 00:00:07.338611,0.8253118140834417,0.005645688720916435,10,37,800,COMPLETE
55,37.14119936356299,2026-04-29 12:30:20.396546,2026-04-29 12:30:30.265632,0 days 00:00:09.869086,0.8202678892173471,0.002715648324811453,10,35,800,COMPLETE
