number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
53,35.73947529988817,2026-05-05 13:42:38.740866,2026-05-05 13:42:41.274711,0 days 00:00:02.533845,28.168129029882,0.9547881918926628,0.010917747786903754,5,95,1346,26,COMPLETE
54,35.75266997522176,2026-05-05 13:42:41.275375,2026-05-05 13:42:43.380418,0 days 00:00:02.105043,27.499087825202583,0.9486793991885569,0.009861554079916058,4,94,1340,22,COMPLETE
55,35.80846663904515,2026-05-05 13:42:43.381418,2026-05-05 13:42:45.495373,0 days 00:00:02.113955,27.915392860386127,0.9975135135720646,0.01684401619298027,5,84,1137,27,COMPLETE
56,36.332657428744916,2026-05-05 13:42:45.495373,2026-05-05 13:42:47.499380,0 days 00:00:02.004007,34.71832230385333,0.8642672051648113,0.040083530816102615,5,96,1254,30,COMPLETE
57,35.91297597355356,2026-05-05 13:42:47.500412,2026-05-05 13:42:50.094135,0 days 00:00:02.593723,30.909042223709005,0.8182219347048538,0.010597404262066413,5,36,1355,41,COMPLETE
58,36.953763242788625,2026-05-05 13:42:50.094135,2026-05-05 13:42:50.913510,0 days 00:00:00.819375,32.278099228046166,0.976455805695078,0.00794040452836802,3,90,501,73,COMPLETE
59,37.07783402317808,2026-05-05 13:42:50.913510,2026-05-05 13:42:52.903532,0 days 00:00:01.990022,36.24077170497114,0.9115964591925962,0.0761782761163485,4,69,1461,70,COMPLETE
60,36.08134245501196,2026-05-05 13:42:52.904533,2026-05-05 13:42:56.884375,0 days 00:00:03.979842,26.365257942131674,0.7803659707468698,0.003525561688698114,6,98,1316,46,COMPLETE
61,35.79751842934358,2026-05-05 13:42:56.885273,2026-05-05 13:43:00.713401,0 days 00:00:03.828128,41.18345424124485,0.9020593642489703,0.005346999601093627,6,91,1380,63,COMPLETE
62,36.25889679275734,2026-05-05 13:43:00.713401,2026-05-05 13:43:05.315160,0 days 00:00:04.601759,28.99084578598865,0.9432195647506576,0.002611688994840977,6,88,1227,53,COMPLETE
63,35.778942549503796,2026-05-05 13:43:05.315160,2026-05-05 13:43:09.641768,0 days 00:00:04.326608,47.90010784200206,0.8473360998794262,0.007097587659143216,7,82,1472,66,COMPLETE
64,35.79283032050308,2026-05-05 13:43:09.641768,2026-05-05 13:43:12.654864,0 days 00:00:03.013096,38.8333360989752,0.8629331717817206,0.0050405852104894915,5,86,1298,76,COMPLETE
65,35.90190896681504,2026-05-05 13:43:12.654864,2026-05-05 13:43:15.446300,0 days 00:00:02.791436,25.07579884280098,0.9752212324794967,0.01176364542228036,6,77,1162,59,COMPLETE
66,35.746364949937835,2026-05-05 13:43:15.446300,2026-05-05 13:43:18.758042,0 days 00:00:03.311742,35.97245027538249,0.7429547784249383,0.006799748956637377,7,57,854,69,COMPLETE
67,35.852654165734776,2026-05-05 13:43:18.758632,2026-05-05 13:43:21.209749,0 days 00:00:02.451117,42.59995517471993,0.9313861364285864,0.014229530533702156,6,92,1088,79,COMPLETE
68,35.75941371032731,2026-05-05 13:43:21.209749,2026-05-05 13:43:23.320683,0 days 00:00:02.110934,63.109041216338824,0.8233014681900066,0.008629240897510786,5,64,992,72,COMPLETE
69,38.81396518184587,2026-05-05 13:43:23.320683,2026-05-05 13:43:25.472833,0 days 00:00:02.152150,38.43445975755327,0.9048722446415943,0.002042080811999591,7,98,689,19,COMPLETE
70,36.0257020757642,2026-05-05 13:43:25.473322,2026-05-05 13:43:30.223966,0 days 00:00:04.750644,52.56261430759521,0.9523483522048898,0.0030230849410479072,6,96,1404,49,COMPLETE
71,35.714478573360154,2026-05-05 13:43:30.223966,2026-05-05 13:43:33.544793,0 days 00:00:03.320827,35.99614887655206,0.7620501653221206,0.006517793404989418,7,60,849,69,COMPLETE
