number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
25,57.597338134166804,2026-05-07 17:32:49.582561,2026-05-07 17:32:51.880432,0 days 00:00:02.297871,61.65547909158194,0.9474680528592884,0.0010977835594509738,8,71,351,98,COMPLETE
26,36.39954225047926,2026-05-07 17:32:51.881436,2026-05-07 17:32:53.289859,0 days 00:00:01.408423,105.52064649453422,0.7531192229648193,0.030756158263156096,7,122,678,132,COMPLETE
27,38.62902625759997,2026-05-07 17:32:53.289859,2026-05-07 17:32:55.188216,0 days 00:00:01.898357,83.94944603983613,0.8512548743744316,0.10267210111230142,9,85,805,122,COMPLETE
28,36.0353889127767,2026-05-07 17:32:55.188216,2026-05-07 17:32:57.337360,0 days 00:00:02.149144,64.8668024695026,0.9307039931706417,0.010667268133174623,8,95,532,100,COMPLETE
29,63.26575876568226,2026-05-07 17:32:57.337360,2026-05-07 17:32:58.720306,0 days 00:00:01.382946,25.33544619524771,0.9442273172349954,0.0013763097761481133,7,59,242,86,COMPLETE
30,36.420823813447235,2026-05-07 17:32:58.720306,2026-05-07 17:33:01.092783,0 days 00:00:02.372477,65.12575565371615,0.6288049038133737,0.00913900710571877,9,93,529,99,COMPLETE
31,35.976624669764384,2026-05-07 17:33:01.108290,2026-05-07 17:33:03.462241,0 days 00:00:02.353951,92.8544376585209,0.9016554156336181,0.015073335564374561,8,111,852,90,COMPLETE
32,36.27896112202083,2026-05-07 17:33:03.462241,2026-05-07 17:33:04.398557,0 days 00:00:00.936316,70.769971151597,0.9618477302819854,0.05157573273812339,8,112,364,91,COMPLETE
33,36.24570345379124,2026-05-07 17:33:04.398557,2026-05-07 17:33:06.485292,0 days 00:00:02.086735,79.44608163193364,0.9165692585060219,0.02288004519104147,7,107,955,106,COMPLETE
34,37.54936887420534,2026-05-07 17:33:06.485292,2026-05-07 17:33:09.618040,0 days 00:00:03.132748,56.26093153168283,0.9979588794616898,0.0044018988012232575,8,137,757,79,COMPLETE
35,35.83855229161013,2026-05-07 17:33:09.618040,2026-05-07 17:33:12.387722,0 days 00:00:02.769682,87.89965426256163,0.7273309440664206,0.009859220669833118,9,78,614,118,COMPLETE
36,35.88042148500849,2026-05-07 17:33:12.387722,2026-05-07 17:33:15.734230,0 days 00:00:03.346508,76.51681534562172,0.7090587534610152,0.00887821498932966,10,77,634,102,COMPLETE
37,38.9421745725421,2026-05-07 17:33:15.734230,2026-05-07 17:33:22.867360,0 days 00:00:07.133130,75.62570288461188,0.6765947351734654,0.0019841159178765827,10,50,1098,86,COMPLETE
38,36.46288670668306,2026-05-07 17:33:22.867360,2026-05-07 17:33:24.824209,0 days 00:00:01.956849,98.98500001253426,0.7296272483918795,0.03394003482601927,10,76,602,129,COMPLETE
39,35.80407221610123,2026-05-07 17:33:24.824209,2026-05-07 17:33:29.171681,0 days 00:00:04.347472,79.62412111408015,0.6693837402648409,0.006651576443334646,9,38,714,106,COMPLETE
40,36.98443586463311,2026-05-07 17:33:29.187847,2026-05-07 17:33:34.146450,0 days 00:00:04.958603,41.998752704364286,0.553747171776803,0.007645942246751764,9,31,707,138,COMPLETE
41,35.77838833971173,2026-05-07 17:33:34.146450,2026-05-07 17:33:39.311199,0 days 00:00:05.164749,85.02722748491023,0.6678210376386166,0.006829783719133454,10,47,795,107,COMPLETE
42,36.005978006758355,2026-05-07 17:33:39.311199,2026-05-07 17:33:43.875214,0 days 00:00:04.564015,79.0521400053963,0.7144127502915393,0.006926291542063521,10,44,617,110,COMPLETE
43,36.90933374516183,2026-05-07 17:33:43.876214,2026-05-07 17:33:50.692133,0 days 00:00:06.815919,85.6814219797285,0.6712044611184479,0.0037671825142251143,10,17,790,104,COMPLETE
