number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_time_steps,params_units_0,params_units_1,params_units_2,state
59,36.69590980480278,2026-05-08 11:59:05.237329,2026-05-08 11:59:51.559021,0 days 00:00:46.321692,16,96,0.1153492149619032,,,0.013831904606438036,1,1,128,,,COMPLETE
60,32.25240232289407,2026-05-08 11:59:51.559021,2026-05-08 12:02:20.329699,0 days 00:02:28.770678,16,128,0.3008453695000584,,,0.0013176939700744357,1,6,192,,,COMPLETE
61,31.410076700408403,2026-05-08 12:02:20.334276,2026-05-08 12:07:09.662624,0 days 00:04:49.328348,16,128,0.16467457424063744,,,0.0010861574276656066,1,12,256,,,COMPLETE
62,31.332266225432072,2026-05-08 12:07:09.662624,2026-05-08 12:11:25.105596,0 days 00:04:15.442972,16,128,0.18831635495093652,,,0.0020206183889128516,1,12,256,,,COMPLETE
63,30.899476218679204,2026-05-08 12:11:25.106552,2026-05-08 12:16:48.793590,0 days 00:05:23.687038,16,112,0.1888054140373731,,,0.0020234831310616715,1,12,256,,,COMPLETE
64,31.97872096811352,2026-05-08 12:16:48.793590,2026-05-08 12:21:20.900316,0 days 00:04:32.106726,16,112,0.1867052367499667,,,0.002036953433786227,1,12,256,,,COMPLETE
65,32.340881436110806,2026-05-08 12:21:20.900829,2026-05-08 12:25:44.717771,0 days 00:04:23.816942,16,112,0.14494951306091244,,,0.002109662529752163,1,12,256,,,COMPLETE
66,31.580431140268285,2026-05-08 12:25:44.718770,2026-05-08 12:29:38.745483,0 days 00:03:54.026713,16,96,0.12589610539662083,,,0.002573591419042988,1,12,224,,,COMPLETE
67,31.24194032071356,2026-05-08 12:29:38.745483,2026-05-08 12:33:30.242957,0 days 00:03:51.497474,64,112,0.20470930599206907,,,0.0017252250811454397,1,12,256,,,COMPLETE
68,31.28747547886324,2026-05-08 12:33:30.243957,2026-05-08 12:36:53.271390,0 days 00:03:23.027433,64,96,0.20476553165415556,,,0.003411833172184894,1,12,224,,,COMPLETE
69,33.16418632319046,2026-05-08 12:36:53.271984,2026-05-08 12:42:59.959059,0 days 00:06:06.687075,64,96,0.20498601972756472,0.1595181574048069,,0.0017733740518941653,2,12,256,192.0,,COMPLETE
70,31.46917480001199,2026-05-08 12:42:59.959059,2026-05-08 12:45:53.545661,0 days 00:02:53.586602,64,112,0.1633933438109306,,,0.003804752893057819,1,12,224,,,COMPLETE
71,32.50251636274923,2026-05-08 12:45:53.545661,2026-05-08 12:48:13.915165,0 days 00:02:20.369504,64,112,0.21084673780059104,,,0.003392422504270767,1,12,192,,,COMPLETE
72,32.232830784547126,2026-05-08 12:48:13.915165,2026-05-08 12:50:12.466397,0 days 00:01:58.551232,64,96,0.23273265867263576,,,0.002301366439298854,1,12,160,,,COMPLETE
73,31.506627504282157,2026-05-08 12:50:12.467475,2026-05-08 12:52:26.380048,0 days 00:02:13.912573,64,112,0.22352458286232008,,,0.002973330697868292,1,12,224,,,COMPLETE
74,32.09870511823781,2026-05-08 12:52:26.380048,2026-05-08 12:54:59.847657,0 days 00:02:33.467609,64,96,0.20187455519320993,,,0.0026018100389349225,1,12,256,,,COMPLETE
75,31.820422022341024,2026-05-08 12:54:59.847657,2026-05-08 12:58:01.062142,0 days 00:03:01.214485,64,80,0.24082280161825725,,,0.001920297938490734,1,12,224,,,COMPLETE
76,36.45179872870965,2026-05-08 12:58:01.062142,2026-05-08 13:04:34.424352,0 days 00:06:33.362210,64,112,0.17930050339662584,0.24471497743706336,0.25870251371581166,0.0013350773460365389,3,12,256,96.0,256.0,COMPLETE
77,33.09719138201009,2026-05-08 13:04:34.425344,2026-05-08 13:05:08.284707,0 days 00:00:33.859363,64,112,0.2708785085378168,,,0.001742496865223348,1,1,160,,,COMPLETE
78,32.14812995680511,2026-05-08 13:05:08.284707,2026-05-08 13:07:57.308055,0 days 00:02:49.023348,32,96,0.45136188998054927,,,0.0015901825061901385,1,12,128,,,COMPLETE
79,31.33150138369707,2026-05-08 13:07:57.309059,2026-05-08 13:11:55.534268,0 days 00:03:58.225209,64,112,0.1659801073904363,,,0.002220714266859344,1,12,256,,,COMPLETE
80,32.53326342177308,2026-05-08 13:11:55.534268,2026-05-08 13:14:42.835907,0 days 00:02:47.301639,16,80,0.1442586518608674,,,0.004533255986303018,1,12,224,,,COMPLETE
81,31.631284492967175,2026-05-08 13:14:42.835907,2026-05-08 13:18:04.742408,0 days 00:03:21.906501,64,112,0.1692435573840042,,,0.0022157870324415207,1,12,256,,,COMPLETE
82,31.643050582027126,2026-05-08 13:18:04.743349,2026-05-08 13:20:51.829766,0 days 00:02:47.086417,64,112,0.3847134486838451,,,0.0027463437775358543,1,12,256,,,COMPLETE
83,31.54988043164486,2026-05-08 13:20:51.829766,2026-05-08 13:24:05.481023,0 days 00:03:13.651257,64,112,0.1832224447697647,,,0.0014431702133688175,1,12,256,,,COMPLETE
84,31.5403940903592,2026-05-08 13:24:05.482031,2026-05-08 13:27:25.938253,0 days 00:03:20.456222,64,112,0.1982700125572811,,,0.0033340947996355727,1,12,256,,,COMPLETE
85,31.873647134330934,2026-05-08 13:27:25.938253,2026-05-08 13:31:01.980893,0 days 00:03:36.042640,64,96,0.28693967607345966,,,0.0019256409157568293,1,12,224,,,COMPLETE
86,31.808208794946996,2026-05-08 13:31:01.980893,2026-05-08 13:34:00.141893,0 days 00:02:58.161000,16,112,0.1598388835225399,,,0.0024187949771233897,1,6,256,,,COMPLETE
87,31.33555842486333,2026-05-08 13:34:00.141893,2026-05-08 13:38:01.026983,0 days 00:04:00.885090,32,128,0.21230863202716965,,,0.001614011269833351,1,12,256,,,COMPLETE
88,30.950608107331085,2026-05-08 13:38:01.026983,2026-05-08 13:41:59.669921,0 days 00:03:58.642938,16,64,0.12722238205210695,,,0.0012272269571137373,1,12,224,,,COMPLETE
89,31.2545950242063,2026-05-08 13:41:59.669921,2026-05-08 13:45:24.631482,0 days 00:03:24.961561,16,64,0.10611921686422615,,,0.001242782949069306,1,12,192,,,COMPLETE
90,32.05834677881889,2026-05-08 13:45:24.631482,2026-05-08 13:48:21.103661,0 days 00:02:56.472179,16,64,0.12451906462485232,,,0.0012248435404756972,1,12,192,,,COMPLETE
91,31.866918997459265,2026-05-08 13:48:21.103661,2026-05-08 13:51:17.993392,0 days 00:02:56.889731,16,64,0.1093549211893019,,,0.001249247876524115,1,12,160,,,COMPLETE
92,31.546504387097986,2026-05-08 13:51:17.993392,2026-05-08 13:55:24.546392,0 days 00:04:06.553000,16,64,0.10003972238564146,,,0.0014086147447857165,1,12,192,,,COMPLETE
93,31.593097281083452,2026-05-08 13:55:24.546392,2026-05-08 13:58:37.215736,0 days 00:03:12.669344,16,48,0.1276513672065014,,,0.0015294616962242122,1,12,192,,,COMPLETE
94,32.70941697191135,2026-05-08 13:58:37.216736,2026-05-08 14:00:05.417202,0 days 00:01:28.200466,16,64,0.10036836897351738,,,0.0011216208427940076,1,1,224,,,COMPLETE
95,41.7295358301039,2026-05-08 14:00:05.417202,2026-05-08 14:04:32.161098,0 days 00:04:26.743896,16,48,0.1493345486148865,,,0.020580429484722038,1,12,224,,,COMPLETE
96,31.691289916213936,2026-05-08 14:04:32.161098,2026-05-08 14:07:57.714470,0 days 00:03:25.553372,16,80,0.13710852072128105,,,0.0016836438903271018,1,12,192,,,COMPLETE
97,32.295440853101226,2026-05-08 14:07:57.715477,2026-05-08 14:12:11.115124,0 days 00:04:13.399647,16,64,0.22107031963954177,,,0.0065529705205261655,1,12,224,,,COMPLETE
98,30.76423698947567,2026-05-08 14:12:11.116174,2026-05-08 14:16:25.786550,0 days 00:04:14.670376,16,64,0.2591524026886067,,,0.0018089570295524364,1,12,192,,,COMPLETE
99,33.53515930844668,2026-05-08 14:16:25.786550,2026-05-08 14:19:22.200175,0 days 00:02:56.413625,16,64,0.12216366817785372,0.43154046386722955,,0.0013402759229066046,2,6,160,64.0,,COMPLETE
100,31.390832647552866,2026-05-08 14:19:22.201185,2026-05-08 14:22:44.505269,0 days 00:03:22.304084,16,64,0.19771014797460346,,,0.0011712009319380776,1,12,192,,,COMPLETE
101,31.217150974463937,2026-05-08 14:22:44.505269,2026-05-08 14:26:32.306023,0 days 00:03:47.800754,16,64,0.24959669906175425,,,0.0018452108687494317,1,12,224,,,COMPLETE
102,31.795640849132432,2026-05-08 14:26:32.306023,2026-05-08 14:30:18.058606,0 days 00:03:45.752583,16,64,0.2636427392263612,,,0.0018275545292171344,1,12,192,,,COMPLETE
103,31.791691016522172,2026-05-08 14:30:18.065279,2026-05-08 14:34:30.740079,0 days 00:04:12.674800,16,48,0.24479186630628566,,,0.001956048444879038,1,12,224,,,COMPLETE
104,31.68592525724937,2026-05-08 14:34:30.740079,2026-05-08 14:39:49.110817,0 days 00:05:18.370738,16,64,0.2930771160984549,,,0.0014659056132954467,1,12,224,,,COMPLETE
105,31.721629726638934,2026-05-08 14:39:49.111834,2026-05-08 14:43:43.782740,0 days 00:03:54.670906,16,64,0.310160862125853,,,0.0016703344785219067,1,12,256,,,COMPLETE
106,32.6049016723403,2026-05-08 14:43:43.783740,2026-05-08 14:46:16.636111,0 days 00:02:32.852371,16,80,0.2270895351396936,,,0.0017969616044083022,1,12,128,,,COMPLETE
107,31.67963708727448,2026-05-08 14:46:16.636111,2026-05-08 14:51:14.644292,0 days 00:04:58.008181,16,80,0.253382363737283,,,0.0010028114022770183,1,12,192,,,COMPLETE
108,31.660181807871265,2026-05-08 14:51:14.645424,2026-05-08 14:57:14.105133,0 days 00:05:59.459709,16,64,0.17440521476943882,,,0.0012532248388009194,1,24,224,,,COMPLETE
109,31.154241733909135,2026-05-08 14:57:14.105133,2026-05-08 15:02:33.351938,0 days 00:05:19.246805,16,48,0.19441077808608936,,,0.0020421826328956665,1,12,256,,,COMPLETE
