number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
104,35.59397753022515,2026-05-05 16:05:34.166203,2026-05-05 16:05:46.474866,0 days 00:00:12.308663,0.8319233572190601,89.18897565037382,0.004935995640093419,8,62,1400,COMPLETE
105,35.567883268484245,2026-05-05 16:05:46.475906,2026-05-05 16:05:55.766909,0 days 00:00:09.291003,0.7990790741006623,95.67844168511823,0.007355139440351899,7,51,1500,COMPLETE
106,35.621252092851215,2026-05-05 16:05:55.767909,2026-05-05 16:06:06.836645,0 days 00:00:11.068736,0.8629904703316548,84.93735624305835,0.0038160318213632726,7,56,1400,COMPLETE
107,35.96579694402336,2026-05-05 16:06:06.836645,2026-05-05 16:06:21.322527,0 days 00:00:14.485882,0.8232617917707501,100.08091420150365,0.0027360090925256375,8,70,1300,COMPLETE
108,35.726727258584845,2026-05-05 16:06:21.322527,2026-05-05 16:06:30.423033,0 days 00:00:09.100506,0.8073318893419468,91.11710310813886,0.01122214168555446,7,44,1500,COMPLETE
109,36.00289178278568,2026-05-05 16:06:30.424033,2026-05-05 16:06:43.775150,0 days 00:00:13.351117,0.8367827996569033,93.42478898916879,0.002386380460987259,7,39,1300,COMPLETE
110,35.596270932988695,2026-05-05 16:06:43.775150,2026-05-05 16:06:59.656039,0 days 00:00:15.880889,0.8510680348611975,106.36358783708681,0.00339952970743133,8,49,1400,COMPLETE
111,35.544425674703334,2026-05-05 16:06:59.657039,2026-05-05 16:07:09.583370,0 days 00:00:09.926331,0.7691768558327194,100.49723421536763,0.0056121623403397325,7,46,1400,COMPLETE
112,35.51018437702138,2026-05-05 16:07:09.583370,2026-05-05 16:07:19.313023,0 days 00:00:09.729653,0.8129805657952864,96.4425307788965,0.006098504878630057,7,53,1400,COMPLETE
113,35.58884838843874,2026-05-05 16:07:19.313023,2026-05-05 16:07:29.430299,0 days 00:00:10.117276,0.8050687369510898,88.6711321130269,0.004716247829143299,7,58,1400,COMPLETE
114,35.526017424096224,2026-05-05 16:07:29.431299,2026-05-05 16:07:45.026260,0 days 00:00:15.594961,0.7830200280906995,96.40914713428003,0.006487598413667978,10,55,1500,COMPLETE
115,35.61360642083217,2026-05-05 16:07:45.026260,2026-05-05 16:07:54.820183,0 days 00:00:09.793923,0.7969258188201175,103.0210553554397,0.004080206930441005,7,49,1300,COMPLETE
116,35.70377799311829,2026-05-05 16:07:54.821183,2026-05-05 16:08:02.726236,0 days 00:00:07.905053,0.8181197058099087,93.88550437321123,0.008663155451810452,7,63,1400,COMPLETE
117,35.452679760243456,2026-05-05 16:08:02.727286,2026-05-05 16:08:14.089045,0 days 00:00:11.361759,0.8321105674723265,84.83428588893528,0.00616639670419663,8,53,1500,COMPLETE
118,35.44316087225587,2026-05-05 16:08:14.094549,2026-05-05 16:08:25.710621,0 days 00:00:11.616072,0.8314186490080189,85.0322030387981,0.0059973887532967715,8,51,1500,COMPLETE
119,35.51478291948142,2026-05-05 16:08:25.710621,2026-05-05 16:08:38.678551,0 days 00:00:12.967930,0.8296947477258892,78.18532114830793,0.007397089096531762,9,52,1500,COMPLETE
120,35.78389901314587,2026-05-05 16:08:38.679551,2026-05-05 16:08:49.153725,0 days 00:00:10.474174,0.8577661799844857,85.0097868676696,0.009560834892939067,8,62,1500,COMPLETE
121,35.53827572607236,2026-05-05 16:08:49.153725,2026-05-05 16:09:00.686979,0 days 00:00:11.533254,0.8418477719098754,99.57952427594654,0.0062135571935622354,8,53,1500,COMPLETE
122,35.51285023109384,2026-05-05 16:09:00.686979,2026-05-05 16:09:12.059770,0 days 00:00:11.372791,0.8163660494627849,90.94219420009014,0.005168982040885697,8,56,1400,COMPLETE
123,35.489107291975614,2026-05-05 16:09:12.059770,2026-05-05 16:09:24.039338,0 days 00:00:11.979568,0.8118401979174502,81.982781662422,0.006010841511700712,8,50,1500,COMPLETE
124,35.50907757215711,2026-05-05 16:09:24.039338,2026-05-05 16:09:37.287406,0 days 00:00:13.248068,0.8796684646649757,82.6124715574311,0.004682582304149873,8,42,1500,COMPLETE
125,35.56930576304655,2026-05-05 16:09:37.288304,2026-05-05 16:09:48.086076,0 days 00:00:10.797772,0.8278012406832113,75.4765092803744,0.007726394043406692,8,50,1500,COMPLETE
126,36.718731161013565,2026-05-05 16:09:48.086076,2026-05-05 16:09:53.793947,0 days 00:00:05.707871,0.8029464696426106,84.34121751445039,0.0058360359808027245,9,58,400,COMPLETE
127,35.46917244301179,2026-05-05 16:09:53.793947,2026-05-05 16:10:06.167981,0 days 00:00:12.374034,0.8446074274935333,80.67089778578642,0.00521656057610505,8,44,1500,COMPLETE
128,35.457275064974866,2026-05-05 16:10:06.167981,2026-05-05 16:10:17.497254,0 days 00:00:11.329273,0.8695053296902462,74.25417184124109,0.006875079103074536,8,44,1500,COMPLETE
129,35.47235842183112,2026-05-05 16:10:17.498254,2026-05-05 16:10:28.700930,0 days 00:00:11.202676,0.8676386971122659,72.02968360595759,0.0071060837401358,8,44,1500,COMPLETE
130,35.44390737216424,2026-05-05 16:10:28.700930,2026-05-05 16:10:42.389980,0 days 00:00:13.689050,0.8922440761156256,72.44600016694334,0.006933811324771144,8,44,1500,COMPLETE
131,35.48133071316693,2026-05-05 16:10:42.390987,2026-05-05 16:10:56.172699,0 days 00:00:13.781712,0.8950614480034466,71.48159912281939,0.006864702141312841,8,45,1500,COMPLETE
132,35.46369854007404,2026-05-05 16:10:56.172699,2026-05-05 16:11:08.851187,0 days 00:00:12.678488,0.9124254064928474,70.8997069434258,0.0067001482375319416,8,44,1500,COMPLETE
133,35.52915508761583,2026-05-05 16:11:08.852547,2026-05-05 16:11:20.933835,0 days 00:00:12.081288,0.9052922799867154,70.63339079936662,0.008700384147189667,8,45,1500,COMPLETE
134,35.43243645762524,2026-05-05 16:11:20.933835,2026-05-05 16:11:33.240522,0 days 00:00:12.306687,0.9306857100199804,66.1619954199779,0.00707575357580232,8,43,1500,COMPLETE
135,35.63903648444456,2026-05-05 16:11:33.241523,2026-05-05 16:11:44.536068,0 days 00:00:11.294545,0.9169751054593652,67.34349716739133,0.010425265208688222,8,42,1500,COMPLETE
136,35.55006623816757,2026-05-05 16:11:44.536068,2026-05-05 16:12:02.131033,0 days 00:00:17.594965,0.9323914520240263,73.00266371332752,0.007189439838850459,9,44,1500,COMPLETE
137,35.61986772408726,2026-05-05 16:12:02.131539,2026-05-05 16:12:15.777696,0 days 00:00:13.646157,0.8950634295580256,71.05740003012016,0.006948432440826592,8,39,1500,COMPLETE
138,35.8098142924313,2026-05-05 16:12:15.778727,2026-05-05 16:12:27.638581,0 days 00:00:11.859854,0.9496427355626409,73.8926267284514,0.012070376835595559,8,46,1500,COMPLETE
139,35.5364360904792,2026-05-05 16:12:27.639598,2026-05-05 16:12:41.218861,0 days 00:00:13.579263,0.9168708285527389,62.86661944200148,0.007946081083176529,8,41,1500,COMPLETE
140,35.917909345091815,2026-05-05 16:12:41.218861,2026-05-05 16:12:52.141111,0 days 00:00:10.922250,0.8816903437549333,64.66275947072968,0.016192668193142492,8,43,1500,COMPLETE
141,35.56637726097186,2026-05-05 16:12:52.141111,2026-05-05 16:13:06.553780,0 days 00:00:14.412669,0.8709833411510527,67.31040024559917,0.006599367149153159,8,48,1500,COMPLETE
