number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_n_estimators,params_num_leaves,state
52,30.37110606904371,2026-03-15 11:49:01.156987,2026-03-15 11:49:04.764132,0 days 00:00:03.607145,0.6788647606757467,0.21804176110534115,7,800,47,COMPLETE
53,29.604041297027898,2026-03-15 11:49:04.764132,2026-03-15 11:49:08.587064,0 days 00:00:03.822932,0.5879434728279173,0.11299558994034695,7,900,42,COMPLETE
54,29.844968191322018,2026-03-15 11:49:08.587064,2026-03-15 11:49:12.543852,0 days 00:00:03.956788,0.5591073978800494,0.12213121608213676,9,900,33,COMPLETE
55,29.471782741368138,2026-03-15 11:49:12.543852,2026-03-15 11:49:15.997522,0 days 00:00:03.453670,0.5903887458563498,0.07605488465040593,6,900,44,COMPLETE
56,29.54178813195398,2026-03-15 11:49:15.997522,2026-03-15 11:49:19.746936,0 days 00:00:03.749414,0.5875131112080548,0.0781560760113527,6,1000,44,COMPLETE
57,29.60355801988738,2026-03-15 11:49:19.746936,2026-03-15 11:49:23.644113,0 days 00:00:03.897177,0.6413657990541041,0.046605138678297554,6,1000,45,COMPLETE
58,29.85263735196898,2026-03-15 11:49:23.644113,2026-03-15 11:49:27.557040,0 days 00:00:03.912927,0.6443617886932979,0.04779433520714374,6,1000,46,COMPLETE
59,30.35382692005269,2026-03-15 11:49:27.559115,2026-03-15 11:49:30.546927,0 days 00:00:02.987812,0.5814035905465135,0.030246134584394055,5,1000,39,COMPLETE
60,29.664337091983402,2026-03-15 11:49:30.547927,2026-03-15 11:49:33.675614,0 days 00:00:03.127687,0.7075428929301778,0.05939401903886713,5,1000,44,COMPLETE
61,29.531813067247885,2026-03-15 11:49:33.675614,2026-03-15 11:49:36.744623,0 days 00:00:03.069009,0.6363209708637011,0.08144173277131632,5,1000,44,COMPLETE
62,30.089093739572654,2026-03-15 11:49:36.744623,2026-03-15 11:49:39.209350,0 days 00:00:02.464727,0.6672368313839371,0.07421573083164434,4,1000,48,COMPLETE
63,29.034962185049217,2026-03-15 11:49:39.209350,2026-03-15 11:49:42.743898,0 days 00:00:03.534548,0.631200018649911,0.09046835377659772,6,900,41,COMPLETE
64,29.154615202238556,2026-03-15 11:49:42.745909,2026-03-15 11:49:45.859245,0 days 00:00:03.113336,0.6315302506589681,0.08331539901947026,5,1000,50,COMPLETE
