number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
102,35.81368901881497,2026-05-05 17:43:19.116559,2026-05-05 17:43:23.294064,0 days 00:00:04.177505,0.8076877722229476,0.015368457228861768,7,44,600,COMPLETE
103,35.89559348109905,2026-05-05 17:43:23.295063,2026-05-05 17:43:27.775564,0 days 00:00:04.480501,0.7584662627572611,0.012572787623155123,7,49,700,COMPLETE
104,36.07086339212338,2026-05-05 17:43:27.775637,2026-05-05 17:43:31.601640,0 days 00:00:03.826003,0.8374341189702522,0.01854474023028571,7,58,600,COMPLETE
105,36.009700549530685,2026-05-05 17:43:31.601640,2026-05-05 17:43:36.927596,0 days 00:00:05.325956,0.7837503805126995,0.0208418352302381,8,40,800,COMPLETE
106,35.80593098387291,2026-05-05 17:43:36.927596,2026-05-05 17:43:40.653814,0 days 00:00:03.726218,0.7700844482774809,0.009593254953730774,7,46,500,COMPLETE
107,36.11610294273159,2026-05-05 17:43:40.654814,2026-05-05 17:43:43.749430,0 days 00:00:03.094616,0.7179427657488267,0.01687870497364667,6,52,700,COMPLETE
108,35.974379396527965,2026-05-05 17:43:43.750431,2026-05-05 17:43:48.721439,0 days 00:00:04.971008,0.80127415924769,0.006483803335059046,7,38,600,COMPLETE
109,36.10370876584069,2026-05-05 17:43:48.722440,2026-05-05 17:43:55.514854,0 days 00:00:06.792414,0.5465966167970349,0.00809649975096584,9,43,500,COMPLETE
110,35.73277545609095,2026-05-05 17:43:55.514854,2026-05-05 17:44:00.350085,0 days 00:00:04.835231,0.8305832862161379,0.011625034869502277,7,47,600,COMPLETE
111,35.81656104964206,2026-05-05 17:44:00.350085,2026-05-05 17:44:04.807370,0 days 00:00:04.457285,0.8307020684076214,0.014400290750438785,7,48,600,COMPLETE
112,35.77721464743972,2026-05-05 17:44:04.807370,2026-05-05 17:44:09.366874,0 days 00:00:04.559504,0.8139814037781555,0.012441283080593625,7,46,600,COMPLETE
113,35.78249690061566,2026-05-05 17:44:09.367877,2026-05-05 17:44:14.666745,0 days 00:00:05.298868,0.8236125471227741,0.011041265042370706,7,41,700,COMPLETE
114,36.02356217078205,2026-05-05 17:44:14.666745,2026-05-05 17:44:18.124927,0 days 00:00:03.458182,0.8635270718500121,0.02226449158140172,7,53,500,COMPLETE
115,35.67363683838183,2026-05-05 17:44:18.124927,2026-05-05 17:44:24.160238,0 days 00:00:06.035311,0.8526927782316104,0.009229190999036272,8,44,600,COMPLETE
