number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
33,35.62241569789749,2026-04-29 11:45:09.701666,2026-04-29 11:45:11.443202,0 days 00:00:01.741536,58.74932490238354,0.9066826796102718,0.01512042019223348,6,36,841,50,COMPLETE
34,57.26063320554321,2026-04-29 11:45:11.443202,2026-04-29 11:45:14.032174,0 days 00:00:02.588972,2.038311773341877,0.9385963756788216,0.01450659102039626,6,28,705,52,COMPLETE
35,36.11405969588632,2026-04-29 11:45:14.032174,2026-04-29 11:45:16.099855,0 days 00:00:02.067681,42.18510303925608,0.9105315996862136,0.007225573389805971,6,41,853,30,COMPLETE
36,44.23290873211541,2026-04-29 11:45:16.115480,2026-04-29 11:45:17.732821,0 days 00:00:01.617341,8.992475910800481,0.9607017858409377,0.01124911827870853,6,17,663,15,COMPLETE
37,37.621002010299684,2026-04-29 11:45:17.732821,2026-04-29 11:45:20.255148,0 days 00:00:02.522327,27.66720009628198,0.8059271098925618,0.009118710335488715,6,35,620,54,COMPLETE
38,52.625843233899374,2026-04-29 11:45:20.255148,2026-04-29 11:45:23.623307,0 days 00:00:03.368159,49.18143278900848,0.9981182395932907,0.0010246280010553057,8,26,719,46,COMPLETE
39,39.30517490460644,2026-04-29 11:45:23.623307,2026-04-29 11:45:26.128122,0 days 00:00:02.504815,40.19591223147817,0.8923544004468891,0.0035467633065131804,5,47,872,64,COMPLETE
40,64.6478498209588,2026-04-29 11:45:26.128122,2026-04-29 11:45:26.586644,0 days 00:00:00.458522,19.67893671583584,0.9480065254176798,0.0022311955433437745,7,64,129,34,COMPLETE
41,35.590185910698814,2026-04-29 11:45:26.586644,2026-04-29 11:45:28.670054,0 days 00:00:02.083410,51.94623454856635,0.8910997187122488,0.017972774369564827,7,33,782,57,COMPLETE
42,35.606510776677794,2026-04-29 11:45:28.670054,2026-04-29 11:45:31.012619,0 days 00:00:02.342565,48.76178557685277,0.8370186328883197,0.014391932110777486,6,32,825,59,COMPLETE
43,35.665921063487666,2026-04-29 11:45:31.012619,2026-04-29 11:45:33.313751,0 days 00:00:02.301132,42.219698143100395,0.8211532181010271,0.02043855176489987,8,30,780,58,COMPLETE
44,36.175166643442786,2026-04-29 11:45:33.313751,2026-04-29 11:45:35.525353,0 days 00:00:02.211602,26.78994105310774,0.8712071131179211,0.03310912284109498,7,25,891,56,COMPLETE
45,38.14664583528757,2026-04-29 11:45:35.525353,2026-04-29 11:45:38.311418,0 days 00:00:02.786065,48.40348965981073,0.7841961904508205,0.004463921728289055,6,12,735,63,COMPLETE
46,36.4165732292209,2026-04-29 11:45:38.311418,2026-04-29 11:45:39.883218,0 days 00:00:01.571800,36.89366797372026,0.72822709200109,0.05581669945104711,7,19,680,46,COMPLETE
47,46.5598573329398,2026-04-29 11:45:39.883218,2026-04-29 11:45:42.788985,0 days 00:00:02.905767,5.604994529024132,0.8412835866916792,0.015428086834155693,8,44,619,60,COMPLETE
48,35.958445292789506,2026-04-29 11:45:42.804616,2026-04-29 11:45:43.951935,0 days 00:00:01.147319,49.758877791652104,0.9689132196702019,0.011943090748022866,5,53,516,74,COMPLETE
49,47.522530522766566,2026-04-29 11:45:43.951935,2026-04-29 11:45:45.584618,0 days 00:00:01.632683,9.642009607331934,0.9305795125450701,0.005668591387718887,4,31,940,45,COMPLETE
50,36.47699430815779,2026-04-29 11:45:45.584618,2026-04-29 11:45:50.016664,0 days 00:00:04.432046,28.849017046113538,0.888974021105523,0.008387245486674398,9,10,815,67,COMPLETE
51,35.57305659433844,2026-04-29 11:45:50.016664,2026-04-29 11:45:51.860545,0 days 00:00:01.843881,54.57749067473113,0.912147896983114,0.014123846831698064,6,38,843,52,COMPLETE
52,36.15351276763927,2026-04-29 11:45:51.860545,2026-04-29 11:45:53.387328,0 days 00:00:01.526783,51.356260727911135,0.8506465210180618,0.032226099281173926,6,23,762,55,COMPLETE
53,35.59582948450769,2026-04-29 11:45:53.387328,2026-04-29 11:45:55.184463,0 days 00:00:01.797135,42.82045530697791,0.7951040911905847,0.02231095350125452,7,39,800,42,COMPLETE
54,35.52570500099687,2026-04-29 11:45:55.184463,2026-04-29 11:45:56.737550,0 days 00:00:01.553087,41.570066639742095,0.8805345108870671,0.023576385504201224,7,38,685,34,COMPLETE
55,35.87545417254762,2026-04-29 11:45:56.737550,2026-04-29 11:45:58.244085,0 days 00:00:01.506535,35.795340039389,0.9744405997052344,0.02926218584627967,7,50,695,35,COMPLETE
56,36.57249787742852,2026-04-29 11:45:58.244085,2026-04-29 11:45:59.401147,0 days 00:00:01.157062,39.495481548837716,0.8837095741022337,0.08330043578633699,7,57,623,32,COMPLETE
57,36.450121343153725,2026-04-29 11:45:59.401798,2026-04-29 11:46:00.819037,0 days 00:00:01.417239,53.70600086446081,0.9248805393870396,0.04481531006632559,8,47,658,29,COMPLETE
58,36.77468705134484,2026-04-29 11:46:00.834541,2026-04-29 11:46:02.276106,0 days 00:00:01.441565,23.932283138440344,0.8611335891622035,0.011464903370899237,5,29,729,25,COMPLETE
59,35.96158085413356,2026-04-29 11:46:02.276106,2026-04-29 11:46:04.749978,0 days 00:00:02.473872,43.216056834574424,0.8980582006513411,0.021758304428862188,7,18,980,39,COMPLETE
60,35.616703194000145,2026-04-29 11:46:04.749978,2026-04-29 11:46:06.906094,0 days 00:00:02.156116,34.7326518432934,0.8242408673044347,0.010009965362938545,6,39,898,44,COMPLETE
61,35.687283264149336,2026-04-29 11:46:06.906094,2026-04-29 11:46:08.738610,0 days 00:00:01.832516,42.47562446269907,0.9435446684192588,0.022469351781912873,7,39,784,41,COMPLETE
62,35.697221064914906,2026-04-29 11:46:08.738610,2026-04-29 11:46:10.874080,0 days 00:00:02.135470,30.06813464068132,0.7950278922420346,0.013850973680763266,7,33,698,53,COMPLETE
63,35.793186914955896,2026-04-29 11:46:10.874080,2026-04-29 11:46:12.588410,0 days 00:00:01.714330,53.50421749979181,0.8646133824203903,0.026946224613992053,7,38,804,37,COMPLETE
