number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
89,37.628574784200055,2026-05-07 17:23:45.495647,2026-05-07 17:23:48.665578,0 days 00:00:03.169931,89.58553291964716,0.9423265513493775,0.0043888558837225896,7,71,544,136,COMPLETE
90,43.914572569527,2026-05-07 17:23:48.665578,2026-05-07 17:23:51.026677,0 days 00:00:02.361099,94.02048986993961,0.9697955789495017,0.0030291979940688107,8,77,363,145,COMPLETE
91,36.78689091275684,2026-05-07 17:23:51.026677,2026-05-07 17:23:54.539470,0 days 00:00:03.512793,55.72724361853897,0.8757061456724418,0.008142117345732995,9,39,468,117,COMPLETE
92,35.66046927552615,2026-05-07 17:23:54.539470,2026-05-07 17:23:57.239297,0 days 00:00:02.699827,107.14142746952172,0.8629043101781135,0.011851912427883748,9,57,493,133,COMPLETE
93,35.74465727223925,2026-05-07 17:23:57.239297,2026-05-07 17:24:00.167711,0 days 00:00:02.928414,99.36108295013841,0.9168793872536002,0.012326691514370618,9,46,498,150,COMPLETE
94,35.72525953763251,2026-05-07 17:24:00.167711,2026-05-07 17:24:03.316559,0 days 00:00:03.148848,109.44477454801758,0.9158894056099068,0.010290977660167545,9,45,493,150,COMPLETE
95,35.53692608006683,2026-05-07 17:24:03.316559,2026-05-07 17:24:06.804216,0 days 00:00:03.487657,109.74571088757696,0.9191854784355584,0.011501956217893971,9,34,592,150,COMPLETE
96,35.54759687377554,2026-05-07 17:24:06.804216,2026-05-07 17:24:10.353254,0 days 00:00:03.549038,98.55984900894602,0.9146765759752749,0.011848307913631272,9,34,591,148,COMPLETE
97,35.8867137209441,2026-05-07 17:24:10.353254,2026-05-07 17:24:12.973709,0 days 00:00:02.620455,97.3290454954935,0.9155989317603425,0.0232534943928298,9,31,591,150,COMPLETE
98,35.688490556068714,2026-05-07 17:24:12.973709,2026-05-07 17:24:15.740639,0 days 00:00:02.766930,99.2073151525624,0.9369861813232507,0.012455534145885157,9,44,412,150,COMPLETE
99,35.83842544866783,2026-05-07 17:24:15.740639,2026-05-07 17:24:18.155655,0 days 00:00:02.415016,109.95270299460047,0.9367324667067032,0.011524807738337924,9,44,335,125,COMPLETE
100,35.90269672159472,2026-05-07 17:24:18.155655,2026-05-07 17:24:21.461379,0 days 00:00:03.305724,94.35222034120062,0.9204565807125319,0.013068358815036804,9,19,420,150,COMPLETE
101,35.600650217590974,2026-05-07 17:24:21.461379,2026-05-07 17:24:24.981045,0 days 00:00:03.519666,99.82369864917572,0.9659328259151059,0.01145156854196685,9,34,559,138,COMPLETE
102,35.54405501190429,2026-05-07 17:24:24.981045,2026-05-07 17:24:28.507664,0 days 00:00:03.526619,98.70419846915627,0.9738383182302258,0.011555897778267368,9,33,598,139,COMPLETE
103,36.02141378605707,2026-05-07 17:24:28.507664,2026-05-07 17:24:31.474352,0 days 00:00:02.966688,31.300826860317713,0.9695806694668162,0.021044624535782125,9,35,594,138,COMPLETE
104,35.74384524390187,2026-05-07 17:24:31.474352,2026-05-07 17:24:35.151851,0 days 00:00:03.677499,98.0903580865884,0.994978257731912,0.011661324519002507,9,25,546,143,COMPLETE
