number,value,datetime_start,datetime_complete,duration,params_alpha,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
42,36.018867875806805,2026-05-05 13:29:18.054052,2026-05-05 13:29:20.130264,0 days 00:00:02.076212,35.86002574589388,0.7465147535637344,0.040660533523939404,10,58,651,37,COMPLETE
43,36.54897351061043,2026-05-05 13:29:20.130264,2026-05-05 13:29:21.700641,0 days 00:00:01.570377,30.14337634136716,0.7801488037363111,0.08018895544432683,9,49,491,46,COMPLETE
44,39.461459318989135,2026-05-05 13:29:21.701641,2026-05-05 13:29:24.168757,0 days 00:00:02.467116,46.004765386200724,0.806742112078239,0.006872356939957704,9,33,385,56,COMPLETE
45,35.709801466825944,2026-05-05 13:29:24.169759,2026-05-05 13:29:27.192213,0 days 00:00:03.022454,59.26904488738364,0.873114921369197,0.0239542566365942,8,40,914,74,COMPLETE
46,35.53163519889953,2026-05-05 13:29:27.207216,2026-05-05 13:29:28.824022,0 days 00:00:01.616806,74.57589608169275,0.6055242566295149,0.014451229353069913,10,28,755,15,COMPLETE
47,35.52127873208376,2026-05-05 13:29:28.824022,2026-05-05 13:29:30.657202,0 days 00:00:01.833180,78.32385520113273,0.6823142618099203,0.012908323810216563,10,21,799,16,COMPLETE
48,35.96382369704567,2026-05-05 13:29:30.657202,2026-05-05 13:29:33.684764,0 days 00:00:03.027562,82.5369409976813,0.6928284395835597,0.005361386726625636,10,19,837,28,COMPLETE
49,36.20291601620194,2026-05-05 13:29:33.684764,2026-05-05 13:29:39.448188,0 days 00:00:05.763424,76.20683542935414,0.675074456340665,0.012149452489158385,10,11,1123,62,COMPLETE
50,35.8652854320438,2026-05-05 13:29:39.448188,2026-05-05 13:29:44.774172,0 days 00:00:05.325984,67.38849349123748,0.7417068587739779,0.007818470725875404,8,17,1052,78,COMPLETE
51,35.561714061561716,2026-05-05 13:29:44.778679,2026-05-05 13:29:46.401079,0 days 00:00:01.622400,72.77770167720178,0.6031407686215466,0.015292663815650495,10,27,769,15,COMPLETE
52,35.51145932226705,2026-05-05 13:29:46.402078,2026-05-05 13:29:48.174791,0 days 00:00:01.772713,76.72379897551633,0.6363114036707729,0.011329830785036325,10,24,724,16,COMPLETE
53,35.61510950258919,2026-05-05 13:29:48.175793,2026-05-05 13:29:50.289397,0 days 00:00:02.113604,77.57127883003504,0.6360228371680723,0.00973901026040869,9,21,722,23,COMPLETE
54,35.5102808801279,2026-05-05 13:29:50.290434,2026-05-05 13:29:52.212118,0 days 00:00:01.921684,100.10156057192931,0.5682497311383382,0.010728956431207515,10,34,591,28,COMPLETE
55,36.26613165023887,2026-05-05 13:29:52.213118,2026-05-05 13:29:54.193109,0 days 00:00:01.979991,100.89031745397327,0.5706919530131672,0.006488533509420473,9,33,589,27,COMPLETE
56,35.52254436662352,2026-05-05 13:29:54.193109,2026-05-05 13:29:57.397281,0 days 00:00:03.204172,90.04435784632945,0.48807284766651715,0.010158276933091221,10,40,683,68,COMPLETE
57,35.53353480001638,2026-05-05 13:29:57.397281,2026-05-05 13:30:00.668733,0 days 00:00:03.271452,101.03364250017087,0.5356742077892385,0.007468879202115534,10,36,1450,19,COMPLETE
58,38.255000427038325,2026-05-05 13:30:00.668733,2026-05-05 13:30:05.297245,0 days 00:00:04.628512,84.00507266712901,0.6413996851650638,0.004178439439614947,9,31,547,92,COMPLETE
