"Date","Price","Open","High","Low","Vol.","Change %"
"07/18/2025","33.595","34.350","34.770","33.410","77.21K","-2.36%"
"07/17/2025","34.407","34.910","35.300","34.300","75.32K","-1.15%"
"07/16/2025","34.809","34.500","35.155","34.375","70.17K","1.06%"
"07/15/2025","34.445","35.200","35.350","34.195","75.96K","-2.85%"
"07/14/2025","35.454","35.600","36.320","35.020","85.21K","-0.30%"
"07/11/2025","35.561","35.000","35.700","34.735","67.32K","1.11%"
"07/10/2025","35.170","34.695","35.390","34.465","65.57K","2.52%"
"07/09/2025","34.304","34.570","34.945","34.240","63.99K","0.25%"
"07/08/2025","34.219","34.175","34.635","33.755","83.25K","1.78%"
"07/07/2025","33.621","33.400","34.150","32.900","58.69K","0.45%"
"07/04/2025","33.469","33.750","34.025","33.225","57.53K","-0.45%"
"07/03/2025","33.621","33.460","34.255","33.305","67.09K","0.09%"
"07/02/2025","33.591","33.900","34.500","33.160","69.40K","-0.30%"
"07/01/2025","33.693","33.250","33.965","32.725","78.95K","2.42%"
"06/30/2025","32.898","33.415","33.535","32.640","72.69K","-0.57%"
"06/27/2025","33.087","33.610","33.900","32.760","72.32K","-2.75%"
"06/26/2025","34.024","35.255","35.650","33.410","97.36K","-3.89%"
"06/25/2025","35.401","35.155","35.975","35.100","91.44K","-0.60%"
"06/24/2025","35.615","37.000","37.100","35.030","185.69K","-12.11%"
"06/23/2025","40.522","42.100","42.440","40.200","132.36K","-0.99%"
"06/20/2025","40.929","40.715","41.225","39.700","112.46K","-1.68%"
"06/19/2025","41.628","39.200","41.900","39.200","112.61K","7.59%"
"06/18/2025","38.693","39.320","40.420","38.530","136.44K","-1.57%"
"06/17/2025","39.309","38.175","39.735","38.055","109.77K","3.70%"
"06/16/2025","37.906","38.100","39.610","37.340","127.92K","0.03%"
"06/13/2025","37.894","38.000","38.575","36.900","164.66K","4.75%"
"06/12/2025","36.177","36.150","36.650","35.665","87.32K","0.74%"
"06/11/2025","35.913","34.845","36.000","34.845","105.89K","3.68%"
"06/10/2025","34.638","35.550","35.625","34.440","83.95K","-2.72%"
"06/09/2025","35.605","36.485","36.505","35.415","64.20K","-1.78%"
"06/06/2025","36.251","36.395","36.850","35.870","74.47K","-0.39%"
"06/05/2025","36.393","35.865","36.670","35.675","75.29K","2.08%"
"06/04/2025","35.650","36.195","36.485","35.350","92.70K","-0.55%"
"06/03/2025","35.848","34.895","36.115","34.890","68.60K","2.38%"
