number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dense_units,params_dropout_0,params_dropout_1,params_dropout_2,params_learning_rate,params_n_lstm_layers,params_units_0,params_units_1,params_units_2,state
44,25.988231986297098,2026-03-13 23:23:45.467084,2026-03-13 23:27:48.732627,0 days 00:04:03.265543,64,32,0.1004214019048957,,,0.0002644103502683976,1,256,,,COMPLETE
45,26.362161996167952,2026-03-13 23:27:48.732627,2026-03-13 23:30:19.917935,0 days 00:02:31.185308,64,80,0.16401155325320793,0.3241162948335529,,0.0006088943049581709,2,96,64.0,,COMPLETE
46,24.71939590843318,2026-03-13 23:30:19.917935,2026-03-13 23:32:23.231899,0 days 00:02:03.313964,32,96,0.21204581968518088,,,0.0011020645473400444,1,224,,,COMPLETE
47,23.632624917257772,2026-03-13 23:32:23.231899,2026-03-13 23:36:18.847511,0 days 00:03:55.615612,32,64,0.31875941751823383,,,0.0004161417750289703,1,192,,,COMPLETE
48,25.151125520980635,2026-03-13 23:36:18.847511,2026-03-13 23:39:05.708606,0 days 00:02:46.861095,64,128,0.3177940963690043,,,0.00022856620872842764,1,192,,,COMPLETE
49,25.533941131169605,2026-03-13 23:39:05.708606,2026-03-13 23:46:00.790576,0 days 00:06:55.081970,32,80,0.12217826341485555,0.4248554945056026,,0.0003596765747925428,2,192,192.0,,COMPLETE
50,26.897251212309516,2026-03-13 23:46:00.791581,2026-03-13 23:54:02.033668,0 days 00:08:01.242087,32,48,0.35573120379057327,0.4944210882122878,0.28680313433005444,0.0003985763282521593,3,128,128.0,256.0,COMPLETE
51,23.658713295901965,2026-03-13 23:54:02.034681,2026-03-13 23:58:35.043327,0 days 00:04:33.008646,32,64,0.25442739808968884,,,0.0005283034276670413,1,224,,,COMPLETE
52,24.590329955395433,2026-03-13 23:58:35.043327,2026-03-14 00:01:57.127493,0 days 00:03:22.084166,32,64,0.25683531608877996,,,0.000511450194537758,1,224,,,COMPLETE
53,24.694499258294762,2026-03-14 00:01:57.128493,2026-03-14 00:05:22.649251,0 days 00:03:25.520758,32,64,0.3078722385106949,,,0.0006416889891336406,1,256,,,COMPLETE
54,26.731049710088264,2026-03-14 00:05:22.649251,2026-03-14 00:09:15.470024,0 days 00:03:52.820773,32,80,0.29343505231206907,,,0.00016109457611465156,1,192,,,COMPLETE
55,24.155840488014547,2026-03-14 00:09:15.470024,2026-03-14 00:12:00.242803,0 days 00:02:44.772779,32,32,0.2228451787067799,,,0.0005583220651335033,1,160,,,COMPLETE
56,25.121273550260632,2026-03-14 00:12:00.243365,2026-03-14 00:14:44.728192,0 days 00:02:44.484827,32,16,0.2611796486847862,,,0.00053706163278315,1,160,,,COMPLETE
57,25.720436692608313,2026-03-14 00:14:44.732747,2026-03-14 00:18:33.372312,0 days 00:03:48.639565,16,32,0.22642860189109282,,,0.00039436877796174567,1,160,,,COMPLETE
58,25.57680119101415,2026-03-14 00:18:33.372312,2026-03-14 00:22:48.093525,0 days 00:04:14.721213,32,16,0.15367822254129263,,,0.00028999179548690006,1,224,,,COMPLETE
59,27.10927569707864,2026-03-14 00:22:48.093525,2026-03-14 00:24:48.738168,0 days 00:02:00.644643,64,48,0.33565009796145473,0.16713631547270894,,0.0007047167748346606,2,128,64.0,,COMPLETE
60,27.29908824462372,2026-03-14 00:24:48.739599,2026-03-14 00:26:32.738138,0 days 00:01:43.998539,32,32,0.2486414487894709,,,0.0007765835824992802,1,32,,,COMPLETE
61,24.618997353853736,2026-03-14 00:26:32.738138,2026-03-14 00:30:02.038143,0 days 00:03:29.300005,32,48,0.19827145345051522,,,0.00046285916391128356,1,192,,,COMPLETE
62,25.344580155042802,2026-03-14 00:30:02.038143,2026-03-14 00:32:55.909730,0 days 00:02:53.871587,32,64,0.17984582945351768,,,0.0010077376558576031,1,192,,,COMPLETE
63,25.11287700384441,2026-03-14 00:32:55.909730,2026-03-14 00:35:39.599378,0 days 00:02:43.689648,32,112,0.2168884387303165,,,0.0005699606686935031,1,160,,,COMPLETE
64,25.54839831637195,2026-03-14 00:35:39.599378,2026-03-14 00:38:35.739607,0 days 00:02:56.140229,32,96,0.47080038005248437,,,0.0014759458045393481,1,224,,,COMPLETE
65,24.913115344214397,2026-03-14 00:38:35.739607,2026-03-14 00:40:32.188686,0 days 00:01:56.449079,32,48,0.2921489922969911,,,0.0020072115297129207,1,192,,,COMPLETE
66,24.514168211130073,2026-03-14 00:40:32.188686,2026-03-14 00:45:27.166121,0 days 00:04:54.977435,16,64,0.23719418406512116,,,0.0008338007416711679,1,256,,,COMPLETE
67,25.400230054938074,2026-03-14 00:45:27.166121,2026-03-14 00:48:24.347248,0 days 00:02:57.181127,32,80,0.2671573799512588,,,0.0003286511608259516,1,128,,,COMPLETE
68,25.505624886058868,2026-03-14 00:48:24.347248,2026-03-14 00:50:41.962928,0 days 00:02:17.615680,32,64,0.17110241301737822,,,0.001214458301291132,1,224,,,COMPLETE
69,24.425381533448423,2026-03-14 00:50:41.962928,2026-03-14 00:53:37.014106,0 days 00:02:55.051178,32,112,0.39535099135574653,,,0.0007216404539925997,1,160,,,COMPLETE
70,24.870809483210216,2026-03-14 00:53:37.014457,2026-03-14 00:56:51.771861,0 days 00:03:14.757404,32,80,0.13475346586068615,,,0.0003930448885114736,1,192,,,COMPLETE
71,24.31286743951924,2026-03-14 00:56:51.771861,2026-03-14 00:59:57.278659,0 days 00:03:05.506798,32,64,0.2439813640099267,,,0.0008476222546839135,1,224,,,COMPLETE
72,25.44671610198447,2026-03-14 00:59:57.278659,2026-03-14 01:01:57.250911,0 days 00:01:59.972252,32,64,0.2282431914454342,,,0.0015677203131343423,1,224,,,COMPLETE
73,24.755283386705905,2026-03-14 01:01:57.250911,2026-03-14 01:04:28.916209,0 days 00:02:31.665298,32,48,0.19355406432279992,,,0.0009090983515335528,1,256,,,COMPLETE
74,25.82932779542824,2026-03-14 01:04:28.917209,2026-03-14 01:06:39.008720,0 days 00:02:10.091511,32,64,0.283503593215834,,,0.000656471298854335,1,224,,,COMPLETE
75,24.633958682445744,2026-03-14 01:06:39.008720,2026-03-14 01:09:18.699273,0 days 00:02:39.690553,32,64,0.2515032097401999,,,0.0010845601950227456,1,256,,,COMPLETE
76,25.010358806447307,2026-03-14 01:09:18.701030,2026-03-14 01:13:16.008913,0 days 00:03:57.307883,32,96,0.2092746346368443,,,0.000555411178808208,1,224,,,COMPLETE
77,24.937670982727116,2026-03-14 01:13:16.019367,2026-03-14 01:14:46.154517,0 days 00:01:30.135150,64,48,0.22332833459609117,,,0.002632371890520221,1,160,,,COMPLETE
