number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
64,36.07406299766115,2026-05-05 13:55:40.936172,2026-05-05 13:55:43.090815,0 days 00:00:02.154643,0.7996966792503539,0.02040498587857253,5,29,1149,45,COMPLETE
65,36.45437992107237,2026-05-05 13:55:43.091814,2026-05-05 13:55:44.931874,0 days 00:00:01.840060,0.8484750421432474,0.04047832153376608,4,34,1232,38,COMPLETE
66,36.31198690472707,2026-05-05 13:55:44.931874,2026-05-05 13:55:47.709523,0 days 00:00:02.777649,0.8727114020164801,0.026790132907133037,6,23,1086,49,COMPLETE
67,36.36432453251514,2026-05-05 13:55:47.709523,2026-05-05 13:55:50.304520,0 days 00:00:02.594997,0.9514204400047864,0.019054460169000375,5,20,1201,36,COMPLETE
68,36.220905512388484,2026-05-05 13:55:50.305519,2026-05-05 13:55:51.803386,0 days 00:00:01.497867,0.8368892146788489,0.02459316141707452,4,31,1013,52,COMPLETE
69,35.76429520258603,2026-05-05 13:55:51.803386,2026-05-05 13:55:54.740633,0 days 00:00:02.937247,0.9251512349154964,0.012600247059088925,6,28,1189,33,COMPLETE
70,35.69129168427325,2026-05-05 13:55:54.740633,2026-05-05 13:55:58.115352,0 days 00:00:03.374719,0.9763285764107705,0.007502142008468319,6,33,1291,33,COMPLETE
71,35.79245032515645,2026-05-05 13:55:58.115352,2026-05-05 13:56:01.543751,0 days 00:00:03.428399,0.9886742868270096,0.00817620024119586,6,32,1327,33,COMPLETE
72,36.158193318487214,2026-05-05 13:56:01.544751,2026-05-05 13:56:05.255744,0 days 00:00:03.710993,0.9871691830008583,0.004767759322496604,6,42,1303,32,COMPLETE
73,35.758820873724574,2026-05-05 13:56:05.255744,2026-05-05 13:56:09.128388,0 days 00:00:03.872644,0.9308543701736475,0.007533816219596918,7,28,1363,26,COMPLETE
74,36.1149198767547,2026-05-05 13:56:09.128388,2026-05-05 13:56:13.454931,0 days 00:00:04.326543,0.9733128601439099,0.0075117972127624845,7,17,1429,25,COMPLETE
75,36.303376578500455,2026-05-05 13:56:13.454931,2026-05-05 13:56:17.236675,0 days 00:00:03.781744,0.9323022458357105,0.005274829750501779,7,22,1367,19,COMPLETE
76,36.11151183695482,2026-05-05 13:56:17.236675,2026-05-05 13:56:21.464008,0 days 00:00:04.227333,0.9481113235106,0.0030569368758925366,6,28,1245,27,COMPLETE
77,36.11572003676264,2026-05-05 13:56:21.464008,2026-05-05 13:56:24.829764,0 days 00:00:03.365756,0.9156995567243119,0.008437894289973958,7,56,1190,34,COMPLETE
78,36.681420145521386,2026-05-05 13:56:24.829764,2026-05-05 13:56:28.971215,0 days 00:00:04.141451,0.9744826753323289,0.003619391222353298,6,14,1326,20,COMPLETE
79,36.92684469074885,2026-05-05 13:56:28.971215,2026-05-05 13:56:34.246469,0 days 00:00:05.275254,0.9902335647106079,0.00660438709250065,7,10,1456,27,COMPLETE
