number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_n_estimators,state
38,29.953258287641624,2026-03-15 12:07:07.909064,2026-03-15 12:07:10.960748,0 days 00:00:03.051684,0.8424722140364421,0.29779942396441156,4,700,COMPLETE
39,29.55561224288735,2026-03-15 12:07:10.960748,2026-03-15 12:07:17.735875,0 days 00:00:06.775127,0.8796093044932757,0.03999232889982621,7,500,COMPLETE
40,29.83514961351159,2026-03-15 12:07:17.735875,2026-03-15 12:07:20.175465,0 days 00:00:02.439590,0.6292730867266547,0.08774128190396167,3,800,COMPLETE
41,29.363120418505424,2026-03-15 12:07:20.175465,2026-03-15 12:07:21.598984,0 days 00:00:01.423519,0.9514064817502571,0.16062009854740125,4,300,COMPLETE
42,29.608073615960897,2026-03-15 12:07:21.600989,2026-03-15 12:07:22.937571,0 days 00:00:01.336582,0.9689160685098864,0.13256185407197146,5,200,COMPLETE
43,29.433912646856697,2026-03-15 12:07:22.937571,2026-03-15 12:07:24.342338,0 days 00:00:01.404767,0.9430323017185942,0.17948348783720153,4,300,COMPLETE
44,29.559017538697418,2026-03-15 12:07:24.342338,2026-03-15 12:07:25.672080,0 days 00:00:01.329742,0.9133159270341842,0.13282732447884255,5,200,COMPLETE
45,32.3937589129846,2026-03-15 12:07:25.672080,2026-03-15 12:07:27.073887,0 days 00:00:01.401807,0.9789824706478263,0.028479126271757693,3,400,COMPLETE
46,30.838681190658132,2026-03-15 12:07:27.073887,2026-03-15 12:07:29.224095,0 days 00:00:02.150208,0.7079458091653439,0.21087946980517083,4,500,COMPLETE
47,29.432499582207477,2026-03-15 12:07:29.226101,2026-03-15 12:07:34.634148,0 days 00:00:05.408047,0.9028754040314619,0.0553357011561863,6,600,COMPLETE
48,31.17692809005892,2026-03-15 12:07:34.634148,2026-03-15 12:07:35.702793,0 days 00:00:01.068645,0.9874612911558697,0.08947842916467529,3,300,COMPLETE
49,30.732694919657398,2026-03-15 12:07:35.702793,2026-03-15 12:07:40.837232,0 days 00:00:05.134439,0.9530769225323016,0.011333340196646453,5,800,COMPLETE
50,32.16256563444086,2026-03-15 12:07:40.839238,2026-03-15 12:07:41.337630,0 days 00:00:00.498392,0.533904965751593,0.06901801884172686,4,100,COMPLETE
51,29.467056400420525,2026-03-15 12:07:41.337630,2026-03-15 12:07:42.774486,0 days 00:00:01.436856,0.9557324062091855,0.16030294788036628,4,300,COMPLETE
52,30.337946951980268,2026-03-15 12:07:42.774486,2026-03-15 12:07:43.751624,0 days 00:00:00.977138,0.9452731766500665,0.13333794968574758,4,200,COMPLETE
53,30.24654939487386,2026-03-15 12:07:43.751624,2026-03-15 12:07:44.808840,0 days 00:00:01.057216,0.9121614469933104,0.2957619146085421,3,300,COMPLETE
54,29.024903673758047,2026-03-15 12:07:44.810846,2026-03-15 12:07:46.678614,0 days 00:00:01.867768,0.9797072872953719,0.2152849849607073,4,400,COMPLETE
55,30.116017619219953,2026-03-15 12:07:46.680618,2026-03-15 12:07:55.289973,0 days 00:00:08.609355,0.979241748711798,0.21810782207393073,8,400,COMPLETE
56,29.71400376228518,2026-03-15 12:07:55.289973,2026-03-15 12:07:57.908021,0 days 00:00:02.618048,0.9994071042310304,0.18096400612548325,5,400,COMPLETE
57,49.68366396558516,2026-03-15 12:07:57.910025,2026-03-15 12:07:59.969013,0 days 00:00:02.058988,0.8735683839927725,0.0010695607552146482,3,600,COMPLETE
58,29.30532516253232,2026-03-15 12:07:59.969013,2026-03-15 12:08:03.153118,0 days 00:00:03.184105,0.9722624872350096,0.12501600192012066,5,500,COMPLETE
59,29.41125062505941,2026-03-15 12:08:03.153118,2026-03-15 12:08:06.615031,0 days 00:00:03.461913,0.7868038702494393,0.09700820555697039,4,800,COMPLETE
60,30.153575036676575,2026-03-15 12:08:06.615031,2026-03-15 12:08:08.261360,0 days 00:00:01.646329,0.6467687729703815,0.23538809620751006,6,200,COMPLETE
61,28.929112252668197,2026-03-15 12:08:08.261360,2026-03-15 12:08:11.453943,0 days 00:00:03.192583,0.9640687203753985,0.11730508640856073,5,500,COMPLETE
62,29.218630308969136,2026-03-15 12:08:11.453943,2026-03-15 12:08:14.606449,0 days 00:00:03.152506,0.9326283983787834,0.07327262235854996,5,500,COMPLETE
63,29.04605807202118,2026-03-15 12:08:14.608200,2026-03-15 12:08:17.757641,0 days 00:00:03.149441,0.930776776769399,0.07302344654291984,5,500,COMPLETE
64,29.499700779369114,2026-03-15 12:08:17.757641,2026-03-15 12:08:22.295039,0 days 00:00:04.537398,0.9336822995410967,0.06513889147621495,6,500,COMPLETE
65,29.49083247624576,2026-03-15 12:08:22.295039,2026-03-15 12:08:25.365656,0 days 00:00:03.070617,0.8971384730689038,0.048069058860349435,5,500,COMPLETE
66,29.619144568806064,2026-03-15 12:08:25.367402,2026-03-15 12:08:33.639736,0 days 00:00:08.272334,0.9245959750268313,0.03179701329989767,7,600,COMPLETE
67,28.87693413218189,2026-03-15 12:08:33.641740,2026-03-15 12:08:36.803543,0 days 00:00:03.161803,0.9861051914007002,0.0851428359555443,5,500,COMPLETE
68,29.633909211629714,2026-03-15 12:08:36.803543,2026-03-15 12:08:42.533768,0 days 00:00:05.730225,0.9928910189391813,0.1085330622966294,6,600,COMPLETE
69,29.072391503305028,2026-03-15 12:08:42.533768,2026-03-15 12:08:47.254659,0 days 00:00:04.720891,0.984495158624761,0.08204352125495187,5,700,COMPLETE
70,29.18055088299446,2026-03-15 12:08:47.254659,2026-03-15 12:08:50.183371,0 days 00:00:02.928712,0.7263004672618455,0.0843432703603,5,500,COMPLETE
71,29.2234557616649,2026-03-15 12:08:50.185377,2026-03-15 12:08:53.220661,0 days 00:00:03.035284,0.7374761312293497,0.07924898205890586,5,500,COMPLETE
72,29.48177574126138,2026-03-15 12:08:53.222665,2026-03-15 12:08:55.589611,0 days 00:00:02.366946,0.7108827968711628,0.06151202280911938,5,400,COMPLETE
73,29.163438866139803,2026-03-15 12:08:55.589611,2026-03-15 12:08:59.269406,0 days 00:00:03.679795,0.9846609035791484,0.11996363181671252,6,400,COMPLETE
74,29.48236128495069,2026-03-15 12:08:59.269406,2026-03-15 12:09:02.951450,0 days 00:00:03.682044,0.9846850752021162,0.11045122493769059,6,400,COMPLETE
75,29.671901143432514,2026-03-15 12:09:02.951450,2026-03-15 12:09:08.626757,0 days 00:00:05.675307,0.9626817586459432,0.04126505133479329,7,400,COMPLETE
76,29.675147312695355,2026-03-15 12:09:08.626757,2026-03-15 12:09:16.715474,0 days 00:00:08.088717,0.9857252135377874,0.09789297158306685,6,900,COMPLETE
77,29.28518169591688,2026-03-15 12:09:16.715474,2026-03-15 12:09:22.948382,0 days 00:00:06.232908,0.9446575258049681,0.05746037696780473,6,700,COMPLETE
78,29.65810059759251,2026-03-15 12:09:22.948382,2026-03-15 12:09:28.308448,0 days 00:00:05.360066,0.9993630358287927,0.1955496946796018,6,600,COMPLETE
79,29.375622131492104,2026-03-15 12:09:28.308448,2026-03-15 12:09:30.866826,0 days 00:00:02.558378,0.9713669315200224,0.11593024164297752,5,400,COMPLETE
80,29.39708393319203,2026-03-15 12:09:30.868573,2026-03-15 12:09:35.387245,0 days 00:00:04.518672,0.9585724299960244,0.13890584531706304,6,500,COMPLETE
81,29.222277294775306,2026-03-15 12:09:35.389249,2026-03-15 12:09:38.354593,0 days 00:00:02.965344,0.755964873696353,0.09540089837329885,5,500,COMPLETE
82,29.31110316108065,2026-03-15 12:09:38.354593,2026-03-15 12:09:41.273028,0 days 00:00:02.918435,0.7142805474707395,0.08241976475445427,5,500,COMPLETE
83,29.77498504831068,2026-03-15 12:09:41.275035,2026-03-15 12:09:43.883105,0 days 00:00:02.608070,0.9826711957083026,0.12067989003299129,5,400,COMPLETE
84,29.227663432456204,2026-03-15 12:09:43.883105,2026-03-15 12:09:47.347164,0 days 00:00:03.464059,0.7365156678883479,0.07558969817704204,5,600,COMPLETE
85,29.178565782467945,2026-03-15 12:09:47.347164,2026-03-15 12:09:53.598717,0 days 00:00:06.251553,0.9190510373561542,0.05301636942078623,6,700,COMPLETE
86,29.67322992675177,2026-03-15 12:09:53.598717,2026-03-15 12:10:03.132418,0 days 00:00:09.533701,0.9204208368765444,0.15913509486366484,7,700,COMPLETE
87,29.75287329471208,2026-03-15 12:10:03.132418,2026-03-15 12:10:09.516821,0 days 00:00:06.384403,0.9379386885481905,0.02011402373371273,6,700,COMPLETE
88,30.007646566058884,2026-03-15 12:10:09.518826,2026-03-15 12:10:17.494267,0 days 00:00:07.975441,0.966882127417252,0.25464401841521983,6,900,COMPLETE
89,29.532426243014037,2026-03-15 12:10:17.494267,2026-03-15 12:10:25.645766,0 days 00:00:08.151499,0.9496873302429387,0.048758007921237544,7,600,COMPLETE
90,29.35240502047884,2026-03-15 12:10:25.645766,2026-03-15 12:10:31.928301,0 days 00:00:06.282535,0.9057631958771032,0.034474915876509436,6,700,COMPLETE
91,29.2363804433496,2026-03-15 12:10:31.928301,2026-03-15 12:10:34.799844,0 days 00:00:02.871543,0.6865872299032535,0.08837125312881548,5,500,COMPLETE
92,29.058803994588544,2026-03-15 12:10:34.799844,2026-03-15 12:10:39.330391,0 days 00:00:04.530547,0.9894015216918436,0.06346887102590235,4,1000,COMPLETE
93,29.165023853168616,2026-03-15 12:10:39.330391,2026-03-15 12:10:42.979907,0 days 00:00:03.649516,0.9912026417916524,0.0651656883329637,4,800,COMPLETE
94,29.105421087875264,2026-03-15 12:10:42.979907,2026-03-15 12:10:47.481890,0 days 00:00:04.501983,0.9872353066184301,0.06867712128943318,4,1000,COMPLETE
