number,value,datetime_start,datetime_complete,duration,params_fair_c,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
67,35.6775294232592,2026-04-29 12:14:23.151649,2026-04-29 12:14:25.874375,0 days 00:00:02.722726,40.60452858561061,0.4666090201894399,0.008903380443630943,9,60,859,64,COMPLETE
68,37.42116536766473,2026-04-29 12:14:25.874375,2026-04-29 12:14:27.171435,0 days 00:00:01.297060,3.342945812464063,0.5292163402313506,0.018199021782049945,10,60,359,66,COMPLETE
69,36.13920090000095,2026-04-29 12:14:27.171435,2026-04-29 12:14:28.893708,0 days 00:00:01.722273,16.135886683269547,0.5552736991236262,0.008534219469270991,10,66,418,63,COMPLETE
70,36.52813838148795,2026-04-29 12:14:28.893708,2026-04-29 12:14:30.959644,0 days 00:00:02.065936,10.720099607376266,0.47422478833450166,0.028727085768633438,9,50,861,55,COMPLETE
71,35.5580517841946,2026-04-29 12:14:30.966648,2026-04-29 12:14:33.767465,0 days 00:00:02.800817,39.23535435178983,0.5024974975454923,0.009633872005450999,9,28,916,50,COMPLETE
72,35.47244023915413,2026-04-29 12:14:33.767465,2026-04-29 12:14:36.204636,0 days 00:00:02.437171,52.38964577272737,0.4938699129548467,0.012342947806381052,9,27,851,50,COMPLETE
73,35.622355181182485,2026-04-29 12:14:36.204636,2026-04-29 12:14:38.632907,0 days 00:00:02.428271,53.68051163240084,0.5026162822687817,0.01279110389417979,9,28,919,42,COMPLETE
74,35.4625767845223,2026-04-29 12:14:38.632907,2026-04-29 12:14:40.986779,0 days 00:00:02.353872,52.63281973408223,0.4993125799502915,0.011848242856514025,9,28,885,42,COMPLETE
75,35.56020108792475,2026-04-29 12:14:40.986779,2026-04-29 12:14:43.961593,0 days 00:00:02.974814,55.80677997940602,0.5045852580388841,0.005601034717766773,9,28,916,42,COMPLETE
76,35.81838851344946,2026-04-29 12:14:43.961593,2026-04-29 12:14:46.600436,0 days 00:00:02.638843,54.35298944851265,0.5056453480510372,0.004521127530647228,9,28,932,33,COMPLETE
77,35.5105299949567,2026-04-29 12:14:46.600436,2026-04-29 12:14:49.814501,0 days 00:00:03.214065,58.7518658722251,0.5780320070888153,0.005439880980064001,10,19,947,41,COMPLETE
78,37.18007562000849,2026-04-29 12:14:49.814501,2026-04-29 12:14:52.007098,0 days 00:00:02.192597,57.23536016559743,0.6040184106399903,0.002653334407369024,10,20,896,23,COMPLETE
79,35.638085965098,2026-04-29 12:14:52.007098,2026-04-29 12:14:55.192296,0 days 00:00:03.185198,59.95603625643097,0.5248605477589962,0.005300857046814552,10,26,956,42,COMPLETE
80,36.49314740040244,2026-04-29 12:14:55.192296,2026-04-29 12:14:57.955440,0 days 00:00:02.763144,50.73188239610031,0.5772871741309598,0.006011684469263288,10,11,897,35,COMPLETE
81,35.55099858273161,2026-04-29 12:14:57.955440,2026-04-29 12:15:01.123777,0 days 00:00:03.168337,54.49715936237966,0.5217164058718393,0.005208438587234229,10,26,943,42,COMPLETE
82,35.4463142975503,2026-04-29 12:15:01.123777,2026-04-29 12:15:03.720349,0 days 00:00:02.596572,54.204398883615056,0.539393178309147,0.007074265660287936,10,30,820,40,COMPLETE
83,36.41386627912358,2026-04-29 12:15:03.720349,2026-04-29 12:15:06.466733,0 days 00:00:02.746384,48.989849156305816,0.5416507137489277,0.003346530767058809,10,31,829,38,COMPLETE
84,35.76973944828045,2026-04-29 12:15:06.466733,2026-04-29 12:15:10.228835,0 days 00:00:03.762102,44.796783872384545,0.5719307273330889,0.004056159164777141,10,36,959,51,COMPLETE
85,35.68878460710024,2026-04-29 12:15:10.228835,2026-04-29 12:15:13.654718,0 days 00:00:03.425883,53.73829645904377,0.6382517511511027,0.007419154668050315,10,19,948,49,COMPLETE
86,36.566864883306216,2026-04-29 12:15:13.654718,2026-04-29 12:15:16.720849,0 days 00:00:03.066131,33.03315953181063,0.6092301492677776,0.0028204156400015823,10,30,875,40,COMPLETE
87,35.58976991640965,2026-04-29 12:15:16.723855,2026-04-29 12:15:19.531950,0 days 00:00:02.808095,48.39091896818881,0.5555234902931074,0.005762500119396047,9,25,998,34,COMPLETE
88,35.75803781648771,2026-04-29 12:15:19.531950,2026-04-29 12:15:21.773490,0 days 00:00:02.241540,47.49188633725177,0.5990792749969869,0.005008113873570636,10,35,827,28,COMPLETE
89,38.15984544937358,2026-04-29 12:15:21.773490,2026-04-29 12:15:24.198464,0 days 00:00:02.424974,59.8702813448675,0.5615809056431486,0.005909219463358697,9,5,792,34,COMPLETE
90,35.74760267535382,2026-04-29 12:15:24.198464,2026-04-29 12:15:26.973117,0 days 00:00:02.774653,43.86864074201546,0.5916728687934392,0.004442799265112611,10,17,970,31,COMPLETE
91,35.54610629278884,2026-04-29 12:15:26.973117,2026-04-29 12:15:29.812717,0 days 00:00:02.839600,39.11681147262491,0.5144263113056894,0.006773720846203671,9,25,992,38,COMPLETE
92,36.06333853346262,2026-04-29 12:15:29.812717,2026-04-29 12:15:32.947812,0 days 00:00:03.135095,49.89160093842838,0.535195286076373,0.0036740796622095374,9,40,935,40,COMPLETE
93,35.718484085324256,2026-04-29 12:15:32.947812,2026-04-29 12:15:35.797040,0 days 00:00:02.849228,54.28246351677488,0.5477660337290502,0.0063031173656152815,9,21,988,36,COMPLETE
