number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
57,35.270265869490046,2026-05-08 20:35:42.326701,2026-05-08 20:35:49.685104,0 days 00:00:07.358403,0.5893508075964129,101.30637107646643,0.009196094962307982,4,36,1200,COMPLETE
58,35.77215926320833,2026-05-08 20:35:49.685104,2026-05-08 20:35:57.006324,0 days 00:00:07.321220,0.5314995822739534,102.21505622715226,0.004647359161012526,4,39,1100,COMPLETE
59,35.08147017113838,2026-05-08 20:35:57.006324,2026-05-08 20:36:05.398903,0 days 00:00:08.392579,0.6081955489568962,93.2598145516007,0.007552089076900643,4,8,1200,COMPLETE
60,35.277866045702105,2026-05-08 20:36:05.398903,2026-05-08 20:36:13.909595,0 days 00:00:08.510692,0.6047863661059013,92.89226361702818,0.009855047331521335,4,6,1200,COMPLETE
61,36.411043794432544,2026-05-08 20:36:13.909595,2026-05-08 20:36:22.796159,0 days 00:00:08.886564,0.581267305796618,98.59179070534444,0.0029851420830620387,4,14,1200,COMPLETE
62,35.59534185368213,2026-05-08 20:36:22.796159,2026-05-08 20:36:37.372715,0 days 00:00:14.576556,0.6445768457361872,91.59611676771779,0.005183076977358454,5,4,1400,COMPLETE
63,35.80569853199269,2026-05-08 20:36:37.373723,2026-05-08 20:36:41.824723,0 days 00:00:04.451000,0.5085208305195139,88.09302220202068,0.007353904507822354,3,8,900,COMPLETE
64,35.3534953149034,2026-05-08 20:36:41.824723,2026-05-08 20:36:49.847318,0 days 00:00:08.022595,0.6851726325161637,101.43778152388137,0.009225494245261232,4,19,1200,COMPLETE
65,35.286551739897526,2026-05-08 20:36:49.847318,2026-05-08 20:36:56.325680,0 days 00:00:06.478362,0.5932255193305311,76.24427127025245,0.014643275015373013,4,27,1100,COMPLETE
66,36.10242725275155,2026-05-08 20:36:56.325680,2026-05-08 20:37:10.130555,0 days 00:00:13.804875,0.5441662718734134,103.95781550858096,0.025123836768853294,6,12,1300,COMPLETE
67,35.13753721067667,2026-05-08 20:37:10.130555,2026-05-08 20:37:15.232350,0 days 00:00:05.101795,0.6342721393443171,86.01773876911847,0.018054567090374517,3,32,1100,COMPLETE
68,39.96589020760401,2026-05-08 20:37:15.232350,2026-05-08 20:37:20.750053,0 days 00:00:05.517703,0.6322077758497254,94.87087293983573,0.0018378210417220407,3,34,1000,COMPLETE
69,35.184244445682324,2026-05-08 20:37:20.750053,2026-05-08 20:37:27.426677,0 days 00:00:06.676624,0.6701999484352381,87.56443277984683,0.017458558169900978,3,31,1400,COMPLETE
70,35.14248610720301,2026-05-08 20:37:27.426677,2026-05-08 20:37:34.431671,0 days 00:00:07.004994,0.665026463240197,84.72752567297735,0.017695223945128277,3,32,1500,COMPLETE
