number,value,datetime_start,datetime_complete,duration,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,state
113,35.80689661090271,2026-04-29 11:37:36.142176,2026-04-29 11:37:37.082355,0 days 00:00:00.940179,0.8976491447578875,0.01878124480148692,9,32,173,72,COMPLETE
114,35.50781273358259,2026-04-29 11:37:37.092859,2026-04-29 11:37:38.518282,0 days 00:00:01.425423,0.9023984110367238,0.015682093946767575,9,30,280,78,COMPLETE
115,35.81340468719574,2026-04-29 11:37:38.518282,2026-04-29 11:37:40.005846,0 days 00:00:01.487564,0.893655960958442,0.011565820245590329,8,30,297,77,COMPLETE
116,35.72760388746532,2026-04-29 11:37:40.005846,2026-04-29 11:37:41.381390,0 days 00:00:01.375544,0.9206310753001462,0.01518922459020886,9,36,258,75,COMPLETE
117,35.52210148722658,2026-04-29 11:37:41.381390,2026-04-29 11:37:42.998881,0 days 00:00:01.617491,0.8758555313563732,0.01646792388635356,10,32,349,70,COMPLETE
118,38.52663133093891,2026-04-29 11:37:42.998881,2026-04-29 11:37:43.935092,0 days 00:00:00.936211,0.8797524287831244,0.10573513756101141,9,30,349,82,COMPLETE
119,35.71290004782393,2026-04-29 11:37:43.935092,2026-04-29 11:37:45.610020,0 days 00:00:01.674928,0.9318884923500523,0.013036934683173641,9,34,326,79,COMPLETE
120,35.77320629849261,2026-04-29 11:37:45.610020,2026-04-29 11:37:47.223387,0 days 00:00:01.613367,0.8556000163042983,0.02018495042170539,10,26,393,70,COMPLETE
121,35.466053329570606,2026-04-29 11:37:47.223387,2026-04-29 11:37:48.836489,0 days 00:00:01.613102,0.9493304972263499,0.016717178225097433,10,32,353,66,COMPLETE
122,35.48377598983882,2026-04-29 11:37:48.836489,2026-04-29 11:37:50.542975,0 days 00:00:01.706486,0.9498521995280058,0.016550958063701195,10,29,359,73,COMPLETE
123,35.47308068569975,2026-04-29 11:37:50.542975,2026-04-29 11:37:52.158829,0 days 00:00:01.615854,0.9693721828107664,0.01682410667128213,10,29,359,66,COMPLETE
124,35.507550483611894,2026-04-29 11:37:52.158829,2026-04-29 11:37:53.591478,0 days 00:00:01.432649,0.9760629894457538,0.01824793850314011,10,28,269,73,COMPLETE
125,35.42732121240722,2026-04-29 11:37:53.591478,2026-04-29 11:37:55.062765,0 days 00:00:01.471287,0.9764525024438628,0.018348390415132643,10,29,292,73,COMPLETE
126,35.59607835198375,2026-04-29 11:37:55.062765,2026-04-29 11:37:56.230631,0 days 00:00:01.167866,0.973570130129338,0.02883159078666608,10,29,267,73,COMPLETE
127,35.7542326870075,2026-04-29 11:37:56.230631,2026-04-29 11:37:57.200792,0 days 00:00:00.970161,0.975423108135842,0.03205131371884019,10,38,217,81,COMPLETE
128,35.53128812476787,2026-04-29 11:37:57.200792,2026-04-29 11:37:58.432084,0 days 00:00:01.231292,0.9467758535960055,0.026662208624409038,10,30,269,73,COMPLETE
129,35.76880566530268,2026-04-29 11:37:58.432084,2026-04-29 11:37:59.354774,0 days 00:00:00.922690,0.955325690171483,0.03905195433832939,10,29,236,73,COMPLETE
130,36.00570813595751,2026-04-29 11:37:59.354774,2026-04-29 11:38:00.638702,0 days 00:00:01.283928,0.9733088135879634,0.028006817022966975,10,24,266,79,COMPLETE
