number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_huber_slope,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,state
66,39.96071010323134,2026-05-08 15:20:25.103049,2026-05-08 15:20:29.312734,0 days 00:00:04.209685,0.815905177208018,109.28926104180243,0.001409800338580027,5,31,1000,COMPLETE
67,35.89245895741704,2026-05-08 15:20:29.312734,2026-05-08 15:20:33.362646,0 days 00:00:04.049912,0.7711362613847993,89.66412595060326,0.012046433125659716,6,44,1100,COMPLETE
68,36.14755994053435,2026-05-08 15:20:33.362646,2026-05-08 15:20:38.270210,0 days 00:00:04.907564,0.7467268328730845,25.53170067126977,0.004158772548453177,7,28,1000,COMPLETE
69,38.59695397378681,2026-05-08 15:20:38.270210,2026-05-08 15:20:42.358927,0 days 00:00:04.088717,0.5102442427157448,75.31384420705865,0.00206089291396985,6,36,900,COMPLETE
70,35.84502896982193,2026-05-08 15:20:42.358927,2026-05-08 15:20:47.092179,0 days 00:00:04.733252,0.8018730415229898,96.1240844831972,0.003494518378136703,5,30,1300,COMPLETE
71,35.77624667844338,2026-05-08 15:20:47.092179,2026-05-08 15:20:52.837349,0 days 00:00:05.745170,0.7163337741358065,84.18669097923657,0.00472403931134654,6,42,1400,COMPLETE
72,35.98879241903809,2026-05-08 15:20:52.837349,2026-05-08 15:20:58.046183,0 days 00:00:05.208834,0.6806605600625335,71.16725355691034,0.010752626993042818,6,47,1500,COMPLETE
73,35.68133328827438,2026-05-08 15:20:58.046183,2026-05-08 15:21:04.161792,0 days 00:00:06.115609,0.6543009787739249,102.66753275787413,0.00630114920549606,7,39,1300,COMPLETE
74,35.80836622096518,2026-05-08 15:21:04.161792,2026-05-08 15:21:10.211719,0 days 00:00:06.049927,0.5951231627947882,101.50572966685696,0.006607530308509326,7,34,1300,COMPLETE
75,35.771576255663184,2026-05-08 15:21:10.211719,2026-05-08 15:21:16.002434,0 days 00:00:05.790715,0.6541649436397279,93.10482666466166,0.006038712335407834,7,27,1100,COMPLETE
76,35.7596341637778,2026-05-08 15:21:16.002434,2026-05-08 15:21:22.967695,0 days 00:00:06.965261,0.6441276689815261,103.69934545251594,0.00380107962855781,7,32,1200,COMPLETE
77,36.19722576570782,2026-05-08 15:21:22.967695,2026-05-08 15:21:26.528129,0 days 00:00:03.560434,0.7443276569557871,98.87531896333012,0.015455262711405427,5,82,1300,COMPLETE
78,35.765766850779926,2026-05-08 15:21:26.528129,2026-05-08 15:21:31.409619,0 days 00:00:04.881490,0.661329929044844,90.43662163257751,0.008229625741110042,6,38,1400,COMPLETE
79,42.13805654560264,2026-05-08 15:21:31.409619,2026-05-08 15:21:36.964303,0 days 00:00:05.554684,0.6845180345251872,105.9157321819818,0.142847212987063,7,19,1200,COMPLETE
80,35.74195665999508,2026-05-08 15:21:36.979928,2026-05-08 15:21:42.493784,0 days 00:00:05.513856,0.768232368427945,93.73104955458679,0.004667368314502697,6,47,1300,COMPLETE
81,35.902853698325465,2026-05-08 15:21:42.493784,2026-05-08 15:21:48.659064,0 days 00:00:06.165280,0.7679824051202072,93.41189573363563,0.0030907557201008424,6,47,1300,COMPLETE
82,35.7342982947255,2026-05-08 15:21:48.659064,2026-05-08 15:21:54.419214,0 days 00:00:05.760150,0.7041391418734988,87.85957852059494,0.004749268894037512,6,44,1400,COMPLETE
83,36.176048750806146,2026-05-08 15:21:54.419214,2026-05-08 15:21:59.682713,0 days 00:00:05.263499,0.7038191308009849,87.2355008853897,0.002387735717074198,5,26,1400,COMPLETE
84,35.843266336637875,2026-05-08 15:21:59.682713,2026-05-08 15:22:04.952621,0 days 00:00:05.269908,0.6937962519218213,109.94261434793017,0.006508751116588584,6,56,1400,COMPLETE
85,35.78207207160814,2026-05-08 15:22:04.952621,2026-05-08 15:22:13.130840,0 days 00:00:08.178219,0.7182938821395203,101.38832117155984,0.0038083565659282744,7,42,1500,COMPLETE
86,35.60390863993707,2026-05-08 15:22:13.146469,2026-05-08 15:22:20.183473,0 days 00:00:07.037004,0.6641430933298773,88.41765773373618,0.004656166003739929,7,35,1400,COMPLETE
87,35.95809512083722,2026-05-08 15:22:20.183473,2026-05-08 15:22:26.300841,0 days 00:00:06.117368,0.6689870800184523,77.26905583452472,0.010193102245545541,7,39,1500,COMPLETE
88,35.72098609504922,2026-05-08 15:22:26.300841,2026-05-08 15:22:30.086542,0 days 00:00:03.785701,0.598871041126472,98.18336492478123,0.007985696559154454,7,35,700,COMPLETE
89,36.320698137710735,2026-05-08 15:22:30.086542,2026-05-08 15:22:32.977833,0 days 00:00:02.891291,0.6010720379538841,82.93612791060536,0.027564115782890048,7,30,700,COMPLETE
